WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,,,,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:31:41,0,-113,32.10395322,35.20756418,673.5999756,78,GSM,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,11,-72,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,6,-71,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:32:14,52,-83,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:14,52,-84,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:32:14,1,-82,32.10196332,35.20711214,667.5999756,128.5,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:32:14,0,-113,32.10196332,35.20711214,667.5999756,128.5,GSM,,,,,
ec:8c:a2:09:93:bc,Ariel_University,[ESS][BLE],2017-10-30 10:32:26,44,-90,32.10280788,35.20728481,677.2000122,72.5,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,11,-64,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
ec:8c:a2:09:86:48,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,6,-66,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
ec:8c:a2:09:8c:cc,Ariel_University,[ESS][BLE],2017-10-30 10:32:34,52,-78,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
54:e6:fc:a4:a9:2a,AUC,[ESS],2017-10-30 10:32:34,1,-88,32.10344322,35.20742085,672.5999756,70,WIFI,,,,,
42501_7211_3084804,Partner,UNKNOWN;il,2017-10-30 10:32:34,0,-113,32.10344322,35.20742085,672.5999756,70,GSM,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:37,52,-90,32.10309144,35.20722672,657.5,64.5,WIFI,,,,,
ec:8c:a2:89:8c:c7,,[WPA2-PSK-CCMP][ESS][BLE],2017-10-30 10:32:49,52,-82,32.10255835,35.20747935,667.5999756,84,WIFI,,,,,
ec:8c:a2:09:8c:c8,Ariel_University,[ESS][BLE],2017-10-30 10:32:57,11,-58,32.10333036,35.20748472,661.2000122,182,WIFI,,,,,
ec:8c:a2:09:86:4c,Ariel_University,[ESS][BLE],2017-10-30 10:32:57,44,-71,32.10333036,35.20748472,661.2000122,182,WIFI,,,,,
f0:b0:52:3e:ca:d8,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,6,-84,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
f0:b0:52:3e:ca:38,Ariel_University,[ESS][BLE],2017-10-30 14:59:30,1,-77,32.10542869,35.20636314,669.2000122,3.5,WIFI,,,,,
