WigleWifi-1.4,appRelease=2.25,model=SM-A520F,release=6.0.1,device=a5y17lte,display=MMB29K.A520FXXU1AQF3,board=universal7880,brand=samsung,,,
MAC,SSID,AuthMode,FirstSeen,Channel,RSSI,CurrentLatitude,CurrentLongitude,AltitudeMeters,AccuracyMeters,Type
02:8d:db:6e:71:da,,[ESS],27/10/2017 16:35,11,-88,32.16747862,34.80968437,44.20000076,2,WIFI
06:8d:db:6e:71:78,,[ESS],27/10/2017 16:35,1,-89,32.16747862,34.80968437,44.20000076,2,WIFI
02:8d:db:6e:71:c1,,[ESS],27/10/2017 16:35,11,-89,32.16747862,34.80968437,44.20000076,2,WIFI
74:da:38:b9:a7:bc,lavel-2_2,[WPA2-PSK-CCMP][WPS][ESS],27/10/2017 16:35,2,-87,32.16734128,34.80947323,39.79999924,1.5,WIFI
94:f6:65:1b:b2:28,Guest Neetwork MM,[WPA2-PSK-CCMP][ESS][BLE],27/10/2017 16:35,5,-95,32.16734128,34.80947323,39.79999924,1.5,WIFI
_6601_3021425,,UNKNOWN;il,27/10/2017 16:35,0,-113,32.16734128,34.80947323,39.79999924,1.5,GSM
14:ae:db:3d:b1:52,EL,[WPA2-PSK-CCMP][ESS],27/10/2017 16:35,9,-75,32.16715105,34.80919252,38.29999924,1.5,WIFI
f8:d1:11:b1:92:93,iFOREX,[WPA-PSK-CCMP+TKIP][WPA2-PSK-CCMP+TKIP-preauth][ESS],27/10/2017 16:35,13,-80,32.16715105,34.80919252,38.29999924,1.5,WIFI
74:da:38:ae:91:7b,lavel-2,[WPA2-PSK-CCMP-preauth][WPS][ESS][BLE],27/10/2017 16:35,2,-83,32.16715105,34.80919252,38.29999924,1.5,WIFI
90:8d:78:51:52:fc,brieftrace,[WPA2-PSK-CCMP][ESS][BLE],27/10/2017 16:35,12,-87,32.16715105,34.80919252,38.29999924,1.5,WIFI
