353,00:02:6f:8e:64:67,,2412,2.56E-04,32.10344907,35.20923973,708.5804378,03/12/2017 08:45
216,00:02:6f:b8:c4:1a,,2462,2.53E-04,32.10398683,35.20897218,702.37846,03/12/2017 08:41
125,00:0d:f0:3e:fa:ca,Gateway,2452,1.32E-04,32.10608928,35.21106968,688.7624378,03/12/2017 08:39
43,00:0e:f4:c1:50:14,vladimir,2462,1.18E-04,32.1026346,35.20757686,692.0341048,03/12/2017 08:37
276,00:11:6b:11:02:b7,yosh,2412,4.04E-04,32.10260329,35.20971232,691.5656375,03/12/2017 08:41
176,00:11:6b:11:7d:c7,yosh,2472,3.91E-04,32.10479231,35.21007344,705.4899881,03/12/2017 08:41
341,00:11:6b:11:7e:0c,yosh,2412,3.79E-04,32.10482512,35.21044036,701.6641184,03/12/2017 08:42
116,00:11:6b:2a:90:3c,Cartiheal,2462,4.29E-04,32.1049208,35.20973324,703.1072223,03/12/2017 08:45
20,00:12:2a:39:2c:3c,netbox-550b,2412,1.35E-04,32.10251814,35.20734901,698.9056862,03/12/2017 08:37
92,00:1a:2f:7f:6b:70,,2472,4.52E-04,32.10542965,35.20926994,688.6194502,03/12/2017 08:38
0,00:1a:dd:e3:06:e4,afikim-wifi,2412,5.20E-04,32.1025298,35.20731989,699.8860445,03/12/2017 08:37
119,00:1a:dd:f4:ef:04,PEPWAVE_9481,2412,4.30E-04,32.10596257,35.21055154,688.6825017,03/12/2017 08:39
128,00:1a:dd:f4:ef:c4,,2412,1.32E-04,32.10614939,35.21138727,688.8993666,03/12/2017 08:39
124,00:1a:dd:f4:ef:c5,Afikim_Wifi,2412,1.52E-04,32.10608928,35.21106968,688.7624378,03/12/2017 08:39
83,00:1a:dd:f4:f5:c4,,2472,3.82E-04,32.10532516,35.20959331,689.1959419,03/12/2017 08:38
84,00:1a:dd:f4:f5:c5,Afikim_Wifi,2472,3.83E-04,32.10507629,35.209061,689.5032785,03/12/2017 08:38
133,00:1a:dd:f4:fc:64,,2412,1.32E-04,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
134,00:1a:dd:f4:fc:65,Afikim_Wifi,2412,1.23E-04,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
130,00:1a:dd:f4:fc:84,,2447,1.69E-04,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
131,00:1a:dd:f4:fc:85,Afikim_Wifi,2447,1.64E-04,32.10621149,35.21194839,689.2763253,03/12/2017 08:39
121,00:1a:dd:f5:06:a4,,2472,1.45E-04,32.10593532,35.21038077,688.6045855,03/12/2017 08:39
122,00:1a:dd:f5:06:a5,Afikim_Wifi,2472,1.42E-04,32.10593532,35.21038077,688.6045855,03/12/2017 08:39
